,CHF1,EUR1,USD1,EUR2,USD2
2014-06-03,1.11751824,1.3635,1,1.3635,1
2014-06-04,1.11510692,1.35937,1,1.35937,1
2014-06-05,1.11317669,1.36024,1,1.36024,1
2014-06-06,1.11377181,1.3635,1,1.3635,1
2014-06-07,1.11738165,1.36335,1,1.36335,1
2014-06-08,1.11693162,1.3634,1,1.3634,1
2014-06-09,1.11706883,1.35981,1,1.35981,1
2014-06-10,1.11284223,1.363,1,1.363,1
2014-06-11,1.11551744,1.3601,1,1.3601,1
2014-06-12,1.11457882,1.36633,1,1.36633,1
2014-06-13,1.12176808,1.3642,1,1.3642,1
2014-06-14,1.11906899,1.36433,1,1.36433,1
2014-06-15,1.11910656,1.36452,1,1.36452,1
2014-06-16,1.11982089,1.359265,1,1.359265,1
2014-06-17,1.11461597,1.353985,1,1.353985,1
2014-06-18,1.11155575,1.35358,1,1.35358,1
2014-06-19,1.11172896,1.355,1,1.355,1
2014-06-20,1.11296628,1.3533,1,1.3533,1
2014-06-21,1.11086431,1.35398,1,1.35398,1
2014-06-22,1.11087665,1.35387,1,1.35387,1
2014-06-23,1.11104942,1.3572,1,1.3572,1
2014-06-24,1.11447932,1.3547,1,1.3547,1
2014-06-25,1.11180291,1.359,1,1.359,1
2014-06-26,1.11564811,1.36075,1,1.36075,1
2014-06-27,1.11838059,1.35998,1,1.35998,1
2014-06-28,1.11763141,1.35987,1,1.35987,1
2014-06-29,1.11763141,1.35921,1,1.35921,1
2014-06-30,1.11675694,1.36035,1,1.36035,1
2014-07-01,1.11825553,1.3604,1,1.3604,1
2014-07-02,1.11852445,1.363,1,1.363,1
2014-07-03,1.12011562,1.36124,1,1.36124,1
2014-07-04,1.119094,1.36486,1,1.36486,1
2014-07-05,1.12233481,1.36481,1,1.36481,1
2014-07-06,1.12243529,1.364395,1,1.364395,1
2014-07-07,1.1222463,1.3694,1,1.3694,1
2014-07-08,1.12773903,1.36788,1,1.36788,1
2014-07-09,1.12676058,1.365725,1,1.365725,1
2014-07-10,1.12491635,1.360915,1,1.360915,1
2014-07-11,1.11935706,1.35943,1,1.35943,1
2014-07-12,1.11805553,1.35944,1,1.35944,1
2014-07-13,1.11814305,1.35935,1,1.35935,1
2014-07-14,1.1180055,1.360585,1,1.360585,1
2014-07-15,1.11931945,1.36116,1,1.36116,1
2014-07-16,1.11989611,1.3641,1,1.3641,1
2014-07-17,1.12229669,1.360745,1,1.360745,1
2014-07-18,1.12040427,1.36075,1,1.36075,1
2014-07-19,1.12079986,1.36077,1,1.36077,1
2014-07-20,1.1208878,1.360685,1,1.360685,1
2014-07-21,1.12094432,1.361985,1,1.361985,1
